Gene,sample_group.cell_lineMCF7,sample_group.cell_lineMDA.MB.231,AveExpr,F,P.Value,adj.P.Val
GFRA1,612.767479140697,0.371276515286677,204.784346497575,2498.16436064386,6.98441418650039E-12,8.43881032324341E-08
HEATR6,164.042482947341,6.87351186700756,66.48353034207,2010.32104684053,1.65851253749661E-11,8.43881032324341E-08
BCAT1,1.35500642626105,241.96735970464,81.1351318157302,1941.62421544541,1.90463669648888E-11,8.43881032324341E-08
DNMBP,-0.82132504985486,134.690763576826,57.172711116379,1669.96283245573,3.46945174079206E-11,1.1528988134652E-07
MORC4,0.305350423367249,95.5873684643549,39.1416967522031,1431.37166018412,6.40567570505242E-11,1.50030965197719E-07
PRMT6,88.8985886970367,-2.24359181658337,39.234365260359,1333.72053370241,8.48368371782491E-11,1.50030965197719E-07
ESR1,208.500961313846,-3.83919559181189,72.2189121681593,1290.60800047048,9.66758338231546E-11,1.50030965197719E-07
PSMD6,544.032526310042,10.1485825955216,225.22320847478,1256.08790862654,1.07677101817022E-10,1.50030965197719E-07
F2RL1,-17.1246762017064,298.625397242334,121.668631130546,1187.06521039404,1.34798096999852E-10,1.50030965197719E-07
IGFBP4,38.8394963003612,420.511981819967,158.231875053806,1179.7151795689,1.38166895950524E-10,1.50030965197719E-07
MYO5B,-70.0071250801993,-99.057363852788,45.5251719625723,1154.69239753716,1.50454840376418E-10,1.50030965197719E-07
CCDC8,0.0209133159587147,7.66339012851618,2.56143448149163,1140.0821599984,1.58264020290642E-10,1.50030965197719E-07
PNMAL1,0.028315791792246,18.69831752944,6.24221110707742,1130.25247404821,1.63804580158761E-10,1.50030965197719E-07
SMARCA1,-4.10135053739975,87.9701970895746,32.1780582004363,1129.72429276582,1.64109108098475E-10,1.50030965197719E-07
ADAMTSL1,0.249919666309185,10.9557180168148,3.73521256104133,1120.88914270635,1.69309695904739E-10,1.50030965197719E-07
SCCPDH,125.376342843464,52.0858599105896,60.9071671302943,1071.47063681764,2.02528752561955E-10,1.68250761190844E-07
SLC24A3,11.9442039215013,0.0448095063299365,4.02363197971092,982.153313257976,2.86180786296635E-10,2.17064215047671E-07
NT5E,-19.8515741206726,429.365246423895,169.229497815922,975.553132024971,2.93947928893927E-10,2.17064215047671E-07
CA12,93.0961244370342,4.80437506482249,36.5400706382252,945.188916805147,3.33275787208579E-10,2.17284361637451E-07
ESAM,0.131556283981447,25.1236337882898,8.55027091321,938.249614155608,3.43171631563035E-10,2.17284361637451E-07
MAP1B,4.15013601267112,96.0920363151083,34.0557193219495,938.170153934072,3.43287059463321E-10,2.17284361637451E-07
LPAR1,0.0993364459290076,103.129763645007,34.5447478793928,882.306577358489,4.3803910812931E-10,2.2482392919251E-07
BCL2L1,-5.50191501600408,143.206146739988,74.5705403313462,876.622038931895,4.49423997940727E-10,2.2482392919251E-07
KCNQ5,-0.72066444923848,13.6174683748019,5.03375698698907,869.467158481579,4.64284976288022E-10,2.2482392919251E-07
PRSS23,76.6616570458603,513.443338570362,208.307096954666,864.353385847842,4.75284478690212E-10,2.2482392919251E-07
ADAMTS12,0.0676883709685606,29.2382144547421,9.80309488346339,855.861046618195,4.94281244029536E-10,2.2482392919251E-07
MERTK,0.436528104511188,18.2379047171425,6.32211848454836,851.5411682263,5.04309006250514E-10,2.2482392919251E-07
KISS1,0.00622076811473815,12.5437048868817,4.21620805775367,849.591136794639,5.08918944805575E-10,2.2482392919251E-07
SLC9A2,25.184294291713,-0.110645218869295,8.49856823783731,845.251359729845,5.19368999193288E-10,2.2482392919251E-07
C14orf132,29.2081985066566,0.0120236873902215,9.74007406468227,822.241803969441,5.79489959249848E-10,2.2482392919251E-07
CLGN,0.154634678368183,24.0830377770207,8.44010002906148,820.195522499616,5.85248554199225E-10,2.2482392919251E-07
LOXL4,-0.400667461031541,17.8621096203544,6.54457750663235,811.829603126857,6.09549699445317E-10,2.2482392919251E-07
ALDH2,0.00451976482615788,15.0592041555675,5.05414081288608,805.935683261854,6.27431293505228E-10,2.2482392919251E-07
DFNA5,-0.541039330261077,17.3413870460448,6.1479106555849,801.797180238861,6.40380391959089E-10,2.2482392919251E-07
ZIC1,8.02134643908204,6.15059961629025E-16,2.67378214636068,801.286044156497,6.42002804902073E-10,2.2482392919251E-07
FAM129A,0.510270528957023,90.7010247004704,30.4249335438758,795.691831837683,6.60100124871919E-10,2.2482392919251E-07
ZNF788,0.02358490290371,26.3241203883002,8.78256843040129,791.658594257918,6.73544772810582E-10,2.2482392919251E-07
WNT5B,0.302120202666592,11.3469666437749,4.07892894084628,789.71861066564,6.80133608585943E-10,2.2482392919251E-07
SPANXC,-0.00924872045637398,11.3636822343414,3.80113883969944,788.87741064884,6.83015655577791E-10,2.2482392919251E-07
SPANXB2,0.129087295584188,128.795254956982,42.9747807508554,784.711590549451,6.97515504681862E-10,2.2482392919251E-07
PDLIM3,0.0529546422135986,5.61575720590992,1.88957061604117,772.336375237693,7.42921150019394E-10,2.2482392919251E-07
ZNF320,-0.041136241186405,10.5557777522118,3.55985111287219,768.196839086761,7.58930298098956E-10,2.2482392919251E-07
LIFR,-1.24108057764003,104.917101213203,38.0477692108763,767.400892469869,7.62057821620995E-10,2.2482392919251E-07
SLC7A2,391.557869323209,12.5028168934465,135.653771367896,760.603304907038,7.89435436790586E-10,2.2482392919251E-07
ZFP82,0.0138343680106532,9.40693282110692,3.14025572970586,758.312494550343,7.98938146260566E-10,2.2482392919251E-07
NFE2L3,6.3860990163046,70.8298500050051,27.6529778775494,756.554280466616,8.0632874865284E-10,2.2482392919251E-07
PTPRJ,26.1412667980856,148.055235295187,65.6708937584417,752.154433804419,8.25201621678563E-10,2.2482392919251E-07
GALNT5,-0.0743447873414433,34.5267146454295,11.5793813893295,752.056955856068,8.25625968795515E-10,2.2482392919251E-07
SCUBE2,74.8484515088419,0.065110382241342,25.0244907338572,749.51887077594,8.36771627258715E-10,2.2482392919251E-07
STK33,0.0165059549556472,6.44393824610571,2.15348140035379,747.513467714277,8.45711439935713E-10,2.2482392919251E-07
SFMBT2,13.5890803507873,0.0120236873902214,4.53370134605918,736.212076015246,8.98387850964578E-10,2.25472341836712E-07
ME3,-1.58644252030059,22.245730804756,8.4870298443485,733.759812562846,9.10355193512305E-10,2.25472341836712E-07
KLHL4,0.36736774754204,53.1556065274115,17.8409914249845,732.18830872405,9.18129254114067E-10,2.25472341836712E-07
PCDHB3,5.35668656604924,0.0180163072965563,1.7915676244486,725.083942506678,9.54328050278996E-10,2.25472341836712E-07
PDE10A,0.569401010733879,27.7714079031584,9.44693630463075,722.757644417037,9.66567883988947E-10,2.25472341836712E-07
ANK1,0.35188695202738,10.8788164400175,3.79435607397925,719.125650685897,9.8607292393551E-10,2.25472341836712E-07
GNG11,-0.450409885497958,39.4669018661089,13.4626626324309,718.330831337554,9.9040684631863E-10,2.25472341836712E-07
HSD17B11,1.49083306692698,84.7014135352826,30.3095123660034,717.933906117389,9.92580085769441E-10,2.25472341836712E-07
RNF182,0.107850451740013,13.2226455150585,4.4434986555995,716.439190304266,1.00081764733419E-09,2.25472341836712E-07
ZNF486,0.0367722151434243,12.5033549070971,4.18004237408017,702.675874241779,1.08083762195242E-09,2.39426026023356E-07
GJA3,-0.047775490169878,7.37051256135948,2.64573263595456,699.764190161084,1.0987802879495E-09,2.39426026023356E-07
SMURF2,31.4651739582004,209.625558670019,107.865790006129,692.234272481115,1.14693980603959E-09,2.45889095191585E-07
GID8,115.017292703692,13.2897382360129,85.2898290921103,688.621577205795,1.170982590022E-09,2.47058739469404E-07
DNAJA4,4.97721449374699,0.00547389284103832,1.69379563495088,682.003645943161,1.21668365292976E-09,2.51022578377667E-07
BDNF,-0.220950860704474,25.6336970450327,8.77892152589259,680.477100599163,1.22754044497053E-09,2.51022578377667E-07
ZEB1,-0.206061794220978,50.9381283290137,17.3446682712152,674.674715376477,1.26992912554227E-09,2.55756029344059E-07
F2R,-1.27758821095277,54.8743246468473,20.0687900538123,669.925111933862,1.30599706617386E-09,2.58459924931672E-07
CACNA2D1,0.00675542006259173,6.10484513459913,2.03720018488724,667.838849060343,1.32224457533507E-09,2.58459924931672E-07
PRTFDC1,1.72611216561065,15.0214365568774,5.90988879345471,664.794358275371,1.34641101499749E-09,2.59369495816617E-07
ANTXR2,-11.6329044467822,143.585263616427,55.9755247076786,660.281971340392,1.38325466789498E-09,2.60296946169927E-07
IL11,-0.360892902452726,11.1150708058187,4.25148829359464,658.473615129001,1.3983733789757E-09,2.60296946169927E-07
PLCL2,-0.14259556259622,15.4329098071913,5.36954299133259,654.861996260485,1.42919191422921E-09,2.60296946169927E-07
IFIT3,-1.12593708563216,89.6198869125922,32.2401180186096,654.819750025348,1.42955740824591E-09,2.60296946169927E-07
LAPTM5,-0.173577506071005,39.432461614752,13.3152096810073,646.78569057814,1.50124207400595E-09,2.65214391806627E-07
SYNE3,0.366440080912465,31.2660109558851,11.5360430364056,646.580376416213,1.50313224125626E-09,2.65214391806627E-07
CARD11,6.2803698347351E-16,8.58077602912856,2.86025867637619,642.928612872847,1.53725395070974E-09,2.65214391806627E-07
GRHL3,7.72771730861097,-0.803458954412846,3.12888663036963,641.932345977377,1.54673075006208E-09,2.65214391806627E-07
NRP1,41.6829520412105,391.030898735213,177.067530868862,640.931083093095,1.55632881138406E-09,2.65214391806627E-07
HTR7,-0.0613136904899143,8.39590634084206,3.07421906350271,638.28249709772,1.58207960997834E-09,2.661899009599E-07
SUSD5,0.0138343680106513,19.8729970433776,6.62894380379608,633.681566251982,1.62809205051731E-09,2.7050749419345E-07
ZNF441,-0.0604698746221443,4.36615030251434,1.49569668391954,629.432878602819,1.67207752903295E-09,2.74385858221062E-07
HHIP,0.00675542006259424,9.6399972438109,3.21558422129116,624.95406620096,1.72006685233568E-09,2.78818641478609E-07
BAGE2,21.5188333866836,0.0555784980840744,7.22398786601471,616.809825513864,1.81182954352384E-09,2.86125648518115E-07
PCDHA11,5.65440317862322,-0.0105842337000178,1.89185721534109,613.396614154852,1.85210389408202E-09,2.86125648518115E-07
NAV3,-1.08757185022424,23.9056134283412,8.87562764739435,611.353210784196,1.87675157460717E-09,2.86125648518115E-07
ELP2,270.013123538504,-20.5320508256156,127.993866582921,611.189405617652,1.87874511745826E-09,2.86125648518115E-07
ZNF90,0.0165059549556466,4.22776927705943,1.41475841067169,610.581326693061,1.88616876965581E-09,2.86125648518115E-07
ERC2,5.31663796091051,0.288642348801317,1.90236701075102,609.918583714691,1.89430161522676E-09,2.86125648518115E-07
DOCK11,1.78029081864135,21.609886434312,8.44649195818952,605.986384456774,1.94346840325668E-09,2.87239423620493E-07
KRT8P3,355.99852688237,-10.1605367456799,155.868433316492,605.874129928009,1.94489528482127E-09,2.87239423620493E-07
GRB2,116.603846650697,17.8142726116558,89.6043659005935,602.422699249468,1.98941353141534E-09,2.90585545709591E-07
DSCAM,54.0663647231876,-0.0111031283909363,18.0505555010283,595.517993131294,2.08236585384334E-09,2.97120757105008E-07
BASP1,108.116035292725,14.4391130152596,52.3285494136299,592.890625129317,2.11915887373415E-09,2.97120757105008E-07
POTEKP,8.1728926652271,-0.00468624934359809,2.73944540869499,589.804289919459,2.16342397460554E-09,2.97120757105008E-07
CSGALNACT1,-64.0233014706179,-62.386707358952,23.0482706484155,589.38528636255,2.16952226748227E-09,2.97120757105008E-07
EPB41L5,115.53712055016,-11.5112562268011,56.138647209989,589.362125232224,2.16985998763681E-09,2.97120757105008E-07
TSPAN5,4.18695970406266,46.3242868435858,17.0187039468745,588.691234622719,2.17967106839022E-09,2.97120757105008E-07
LINC00667,0.681029672409344,6.93498793566257,2.56686934216663,587.946405190299,2.19062851311246E-09,2.97120757105008E-07
HENMT1,32.0174477525449,0.0454232041963993,10.6985901542765,571.558209311553,2.45014559048426E-09,3.26441234891269E-07
C4BPB,-0.071542446880828,9.31784762294931,3.15364417223699,571.218400639407,2.45592262181214E-09,3.26441234891269E-07
TSPYL5,76.143404027753,18.8309784561177,31.7231619701412,569.362951179714,2.4877690721189E-09,3.27400262441628E-07
PDE8B,0.661112409039758,8.62941919004382,3.10781036839059,567.496184754588,2.52033273763287E-09,3.28433948515844E-07
ZNF518B,-0.0824726012868533,27.7097427625591,9.31279949888844,565.465950730278,2.55635545794708E-09,3.29893949000316E-07
ABAT,50.4584644007869,-1.4041823718805,17.8934277876058,559.869182817938,2.65904881666515E-09,3.32909442133612E-07
GFPT2,0.732387044268394,26.0745339687837,9.86384808865587,558.878064411989,2.67776890230287E-09,3.32909442133612E-07
NES,4.3573487191065,46.964244402658,17.1458406480475,557.22585335378,2.70934355349967E-09,3.32909442133612E-07
LPCAT1,92.7413247509816,56.1030806645805,57.1626900584554,557.219510347123,2.70946566651327E-09,3.32909442133612E-07
LYPD6B,11.781316583334,1.34456220024441,4.48419341149471,557.167792150161,2.71046158137969E-09,3.32909442133612E-07
GABBR2,7.18203613317918,0.0835425696267612,2.432443801302,554.228175119465,2.76782900715609E-09,3.32909442133612E-07
MYLK,0.21770009430718,71.0802366038096,25.2470757787064,553.500338350945,2.78226688013133E-09,3.32909442133612E-07
CORO1C,13.0950424186432,171.062985727837,96.6454174044814,552.909895096122,2.79404858130904E-09,3.32909442133612E-07
PGBD1,0.878945614211295,14.6579890501814,6.40213414823845,550.880745556944,2.83501692247502E-09,3.32909442133612E-07
SCN5A,0.180024037556017,35.0159650511694,11.7377397976129,550.279643107117,2.84729716643275E-09,3.32909442133612E-07
HIST1H2BB,-4.17612163952417,126.704905571832,45.8795150993802,549.464574196288,2.86405511586392E-09,3.32909442133612E-07
KRT18P38,95.2903057801531,2.20669597538923,41.1891718006787,548.590191979407,2.88216994497743E-09,3.32909442133612E-07
PRNP,-56.3221119955231,137.70611807353,100.44442706469,545.836992773534,2.94015269907391E-09,3.32909442133612E-07
CCRL2,-0.0109665020293995,12.0543928486847,4.0254419509145,544.893971811421,2.9603477792118E-09,3.32909442133612E-07
LINC01234,0.0294892854171863,5.28392786688573,1.78784898750146,544.239901113511,2.97445687178696E-09,3.32909442133612E-07
ZNF470,6.2803698347351E-16,9.46181101598695,3.15393700532898,543.96295910638,2.98045618521666E-09,3.32909442133612E-07
TIMP2,-18.511245687439,55.9386890633597,38.66146189797,540.777992584363,3.05055127282423E-09,3.37899395986497E-07
IGSF1,4.7027837372176,0.00900815364827888,1.57059729695529,526.581550944896,3.38928086551532E-09,3.68513721971597E-07
COX6C,417.985126250033,-28.4120613960123,212.089436977893,526.15377497045,3.40019964861798E-09,3.68513721971597E-07
LONRF2,27.1756473915342,0.685983709976019,9.29817686919946,523.697430912964,3.46375558738285E-09,3.68513721971597E-07
IGFBP7,-1.17188624266392,178.112137813182,60.3023776027928,522.405166478607,3.49778853746703E-09,3.68513721971597E-07
GPSM3,-0.322436455526685,9.38060966407773,3.57076433385519,520.598536067835,3.54607197964535E-09,3.68513721971597E-07
MRPS23,79.0319323508455,16.2802102491461,49.9740934942436,520.303622486806,3.55403271481437E-09,3.68513721971597E-07
FRMD5,2.19539756207645,32.1588080925998,12.2520426357337,518.486420221366,3.60358164735084E-09,3.68513721971597E-07
PLAU,-13.4933775927278,194.990048566645,74.7749692846666,518.136158557994,3.61323120134054E-09,3.68513721971597E-07
APCDD1L,-0.0582317256696829,6.06711583228284,2.0682720424888,518.113683975518,3.61385146892007E-09,3.68513721971597E-07
WNK3,0.159427618550499,14.1320048587745,4.76381082577499,517.884842633904,3.62017476363655E-09,3.68513721971597E-07
CDKN2B,28.4015419640587,-0.00315199247785351,9.49864722828576,517.461599806058,3.63190622767674E-09,3.68513721971597E-07
PEA15,-12.2619547102509,81.2986853025613,47.4143079930555,514.062872215968,3.72785763578389E-09,3.75383967385147E-07
DTNA,27.1601344454238,0.231244906449061,9.15239278801641,508.351441069294,3.89635407263197E-09,3.89401040100933E-07
CDH18,6.11918938908526,0.11011320578205,2.16378394619493,506.200490065659,3.96227318539673E-09,3.91724737298584E-07
ARHGAP44,5.56195833945799,0.109127576881393,1.89036197211313,505.653219622386,3.97926725277676E-09,3.91724737298584E-07
STARD8,0.149586996574899,11.0468420242512,4.07657573580984,503.966185071799,4.03223060975134E-09,3.91724737298584E-07
PPM1D,160.352987667778,-2.59203262458107,66.4232976939782,503.800238849239,4.03748788819635E-09,3.91724737298584E-07
MYL9,-0.430097537167334,14.6633513169715,5.18867335966485,496.836315228927,4.26605249725423E-09,4.10901230387704E-07
PHYHD1,-0.0379142958187615,16.978014840065,5.70755232436695,495.901434765673,4.2979561425417E-09,4.10995921199024E-07
IGSF3,69.8737205632924,-18.3119920194097,35.8813380397194,493.212832824494,4.39138522493488E-09,4.16930660070245E-07
KIRREL,-12.3249764573602,40.0983521237247,21.6245949780658,489.276464137099,4.53280499692261E-09,4.27305276731173E-07
BMP4,1.61146713005982,64.4248729407125,22.2397660500566,486.657209964338,4.63007026381748E-09,4.33400661596211E-07
GRB10,0.707589641717932,71.9828695376539,29.4018427190655,484.132973538612,4.72628963806997E-09,4.38767695437518E-07
SYDE1,0.164340259645345,37.4572733981019,13.1006707190057,483.43265430633,4.75342673359935E-09,4.38767695437518E-07
ZNF826P,0.00707894794805962,11.007301122863,3.6714600236037,482.564773413148,4.78732776503009E-09,4.38849383812275E-07
PRR5L,-0.444280552760169,10.4685236701873,4.02412828259395,473.06666004797,5.17886761564102E-09,4.71063886554759E-07
DOCK2,-0.0969761881870687,16.7586889671762,5.70181055888965,471.709302073404,5.23804668776425E-09,4.71063886554759E-07
PABPC4L,0.504910906019702,5.58276170985193,2.04071107469938,471.351855429031,5.25377141348471E-09,4.71063886554759E-07
KRT18P17,67.3581239501718,3.82830504587215,28.2206837242235,470.747142522677,5.28050850862617E-09,4.71063886554759E-07
HERC5,0.177808415899322,34.0753191257227,12.0785032958935,467.151214427418,5.4430651827568E-09,4.82328149394689E-07
SH2B3,-1.83714172799842,73.4829625297363,27.912952641846,463.462361027354,5.61637955121218E-09,4.88322587767662E-07
DDX43,3.57468188585206,0.00833340424246528,1.19433843003151,462.441909040174,5.66553827842871E-09,4.88322587767662E-07
